Nome Disciplina,Total_Evadiram,Total_Alunos,Taxa_Evasião
CIRCUITOS DIGITAIS,4,1,400.0
CÁLCULO NÚMERICO ,2,1,200.0
ESTRUTURA DE DADOS 2,2,1,200.0
INTERAÇÃO HUMANO-COMPUTADOR,4,2,200.0
ORGANIZAÇÃO DE COMPUTADORES,2,1,200.0
ALGORITMOS,10,6,166.66666666666669
CÁLCULO NUMÉRICO,3,2,150.0
PROBABILIDADE E ESTATÍSTICA,3,2,150.0
Comunicação Oral e Escrita,2,2,100.0
COMUNICAÇÃO LINGUISTICA,1,1,100.0
BANCO DE DADOS 2,1,1,100.0
CÁLCULO DIFERENCIAL INTEGRAL I,1,1,100.0
CÁLCULO DIFERENCIAL E INTEGRAL 1,4,4,100.0
BANCO DE DADOS 1,1,1,100.0
Atividade Física E Qualidade De Vida,1,1,100.0
ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,2,2,100.0
FUNDAMENTOS DA ÉTICA,1,1,100.0
FILOSOFIA DA CIÊNCIA E DA TECNOLOGIA,3,3,100.0
ENGENHARIA DE SOFTWARE 1,1,1,100.0
GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,4,4,100.0
INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,3,3,100.0
LABORATÓRIO DE PROGRAMAÇÃO EM REDES DE COMPUTADORES,1,1,100.0
GERÊNCIA DE BANCO DE DADOS,1,1,100.0
Geometria Analítica E Álgebra Linear,1,1,100.0
LINGUAGEM DE PROGRAMAÇÃO ESTRUTURADA,2,2,100.0
LIBRAS,1,1,100.0
MANUTENÇÃO DE COMPUTADORES,1,1,100.0
LÓGICA MATEMÁTICA,5,5,100.0
MODELAGEM E PROGRAMAÇÃO 1,1,1,100.0
PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS,1,1,100.0
SISTEMAS DE APOIO À DECISÃO,1,1,100.0
TÓPICOS EM INTELIGÊNCIA ARTIFICIAL,1,1,100.0
